"price","airline","Origin","Destination","DepartureDate","ReturnDate","ScrapeDate","nbr_trials","Journey","TravelDates","DaysBeforeDeparture"
5384,NA,"BER","BKK",2019-01-20,2019-01-24,2019-01-14,1,"BER-BKK","2019-01-20-2019-01-24",6
5153,NA,"BER","BKK",2019-01-20,2019-01-25,2019-01-14,1,"BER-BKK","2019-01-20-2019-01-25",6
5384,NA,"BER","BKK",2019-01-20,2019-01-26,2019-01-14,1,"BER-BKK","2019-01-20-2019-01-26",6
5485,NA,"BER","BKK",2019-01-20,2019-01-27,2019-01-14,1,"BER-BKK","2019-01-20-2019-01-27",6
5858,NA,"BER","BKK",2019-01-21,2019-01-25,2019-01-14,1,"BER-BKK","2019-01-21-2019-01-25",7
5858,NA,"BER","BKK",2019-01-21,2019-01-26,2019-01-14,1,"BER-BKK","2019-01-21-2019-01-26",7
5874,NA,"BER","BKK",2019-01-21,2019-01-26,2019-01-15,1,"BER-BKK","2019-01-21-2019-01-26",6
5858,NA,"BER","BKK",2019-01-21,2019-01-27,2019-01-14,1,"BER-BKK","2019-01-21-2019-01-27",7
5874,NA,"BER","BKK",2019-01-21,2019-01-27,2019-01-15,1,"BER-BKK","2019-01-21-2019-01-27",6
5858,NA,"BER","BKK",2019-01-21,2019-01-28,2019-01-14,1,"BER-BKK","2019-01-21-2019-01-28",7
5874,NA,"BER","BKK",2019-01-21,2019-01-28,2019-01-15,1,"BER-BKK","2019-01-21-2019-01-28",6
5858,NA,"BER","BKK",2019-01-22,2019-01-26,2019-01-14,1,"BER-BKK","2019-01-22-2019-01-26",8
5858,NA,"BER","BKK",2019-01-22,2019-01-27,2019-01-14,1,"BER-BKK","2019-01-22-2019-01-27",8
5553,NA,"BER","BKK",2019-01-22,2019-01-27,2019-01-15,1,"BER-BKK","2019-01-22-2019-01-27",7
5867,NA,"BER","BKK",2019-01-22,2019-01-27,2019-01-16,1,"BER-BKK","2019-01-22-2019-01-27",6
5538,NA,"BER","BKK",2019-01-22,2019-01-28,2019-01-14,1,"BER-BKK","2019-01-22-2019-01-28",8
5553,NA,"BER","BKK",2019-01-22,2019-01-28,2019-01-15,1,"BER-BKK","2019-01-22-2019-01-28",7
5553,NA,"BER","BKK",2019-01-22,2019-01-28,2019-01-16,1,"BER-BKK","2019-01-22-2019-01-28",6
5538,NA,"BER","BKK",2019-01-22,2019-01-29,2019-01-14,1,"BER-BKK","2019-01-22-2019-01-29",8
5553,NA,"BER","BKK",2019-01-22,2019-01-29,2019-01-15,1,"BER-BKK","2019-01-22-2019-01-29",7
5552,NA,"BER","BKK",2019-01-22,2019-01-29,2019-01-16,1,"BER-BKK","2019-01-22-2019-01-29",6
5345,NA,"BER","BKK",2019-01-23,2019-01-27,2019-01-14,1,"BER-BKK","2019-01-23-2019-01-27",9
5345,NA,"BER","BKK",2019-01-23,2019-01-28,2019-01-14,1,"BER-BKK","2019-01-23-2019-01-28",9
5361,NA,"BER","BKK",2019-01-23,2019-01-28,2019-01-15,1,"BER-BKK","2019-01-23-2019-01-28",8
5354,NA,"BER","BKK",2019-01-23,2019-01-28,2019-01-16,1,"BER-BKK","2019-01-23-2019-01-28",7
5351,NA,"BER","BKK",2019-01-23,2019-01-28,2019-01-17,1,"BER-BKK","2019-01-23-2019-01-28",6
5345,NA,"BER","BKK",2019-01-23,2019-01-29,2019-01-14,1,"BER-BKK","2019-01-23-2019-01-29",9
5361,NA,"BER","BKK",2019-01-23,2019-01-29,2019-01-15,1,"BER-BKK","2019-01-23-2019-01-29",8
5354,NA,"BER","BKK",2019-01-23,2019-01-29,2019-01-16,1,"BER-BKK","2019-01-23-2019-01-29",7
5351,NA,"BER","BKK",2019-01-23,2019-01-29,2019-01-17,1,"BER-BKK","2019-01-23-2019-01-29",6
5345,NA,"BER","BKK",2019-01-23,2019-01-30,2019-01-14,1,"BER-BKK","2019-01-23-2019-01-30",9
5361,NA,"BER","BKK",2019-01-23,2019-01-30,2019-01-15,1,"BER-BKK","2019-01-23-2019-01-30",8
5354,NA,"BER","BKK",2019-01-23,2019-01-30,2019-01-16,1,"BER-BKK","2019-01-23-2019-01-30",7
5909,NA,"BER","BKK",2019-01-23,2019-01-30,2019-01-17,1,"BER-BKK","2019-01-23-2019-01-30",6
5858,NA,"BER","BKK",2019-01-24,2019-01-28,2019-01-14,1,"BER-BKK","2019-01-24-2019-01-28",10
5858,NA,"BER","BKK",2019-01-24,2019-01-29,2019-01-14,1,"BER-BKK","2019-01-24-2019-01-29",10
5874,NA,"BER","BKK",2019-01-24,2019-01-29,2019-01-15,1,"BER-BKK","2019-01-24-2019-01-29",9
5867,NA,"BER","BKK",2019-01-24,2019-01-29,2019-01-16,1,"BER-BKK","2019-01-24-2019-01-29",8
5863,NA,"BER","BKK",2019-01-24,2019-01-29,2019-01-17,1,"BER-BKK","2019-01-24-2019-01-29",7
5858,NA,"BER","BKK",2019-01-24,2019-01-30,2019-01-14,1,"BER-BKK","2019-01-24-2019-01-30",10
5874,NA,"BER","BKK",2019-01-24,2019-01-30,2019-01-15,1,"BER-BKK","2019-01-24-2019-01-30",9
5867,NA,"BER","BKK",2019-01-24,2019-01-30,2019-01-16,1,"BER-BKK","2019-01-24-2019-01-30",8
5875,NA,"BER","BKK",2019-01-24,2019-01-30,2019-01-17,1,"BER-BKK","2019-01-24-2019-01-30",7
5858,NA,"BER","BKK",2019-01-24,2019-01-31,2019-01-14,1,"BER-BKK","2019-01-24-2019-01-31",10
5874,NA,"BER","BKK",2019-01-24,2019-01-31,2019-01-15,1,"BER-BKK","2019-01-24-2019-01-31",9
5867,NA,"BER","BKK",2019-01-24,2019-01-31,2019-01-16,1,"BER-BKK","2019-01-24-2019-01-31",8
5941,NA,"BER","BKK",2019-01-24,2019-01-31,2019-01-17,1,"BER-BKK","2019-01-24-2019-01-31",7
5471,NA,"BER","BKK",2019-01-25,2019-01-29,2019-01-14,1,"BER-BKK","2019-01-25-2019-01-29",11
5866,NA,"BER","BKK",2019-01-25,2019-01-30,2019-01-14,1,"BER-BKK","2019-01-25-2019-01-30",11
5881,NA,"BER","BKK",2019-01-25,2019-01-30,2019-01-15,1,"BER-BKK","2019-01-25-2019-01-30",10
5880,NA,"BER","BKK",2019-01-25,2019-01-30,2019-01-16,1,"BER-BKK","2019-01-25-2019-01-30",9
5882,NA,"BER","BKK",2019-01-25,2019-01-30,2019-01-17,1,"BER-BKK","2019-01-25-2019-01-30",8
5935,NA,"BER","BKK",2019-01-25,2019-01-31,2019-01-14,1,"BER-BKK","2019-01-25-2019-01-31",11
5948,NA,"BER","BKK",2019-01-25,2019-01-31,2019-01-15,1,"BER-BKK","2019-01-25-2019-01-31",10
5946,NA,"BER","BKK",2019-01-25,2019-01-31,2019-01-16,1,"BER-BKK","2019-01-25-2019-01-31",9
5913,NA,"BER","BKK",2019-01-25,2019-01-31,2019-01-17,1,"BER-BKK","2019-01-25-2019-01-31",8
5866,NA,"BER","BKK",2019-01-25,2019-02-01,2019-01-14,1,"BER-BKK","2019-01-25-2019-02-01",11
6046,NA,"BER","BKK",2019-01-25,2019-02-01,2019-01-15,1,"BER-BKK","2019-01-25-2019-02-01",10
5483,NA,"BER","BKK",2019-01-25,2019-02-01,2019-01-16,1,"BER-BKK","2019-01-25-2019-02-01",9
5493,NA,"BER","BKK",2019-01-25,2019-02-01,2019-01-17,1,"BER-BKK","2019-01-25-2019-02-01",8
5345,NA,"BER","BKK",2019-01-26,2019-01-30,2019-01-14,1,"BER-BKK","2019-01-26-2019-01-30",12
5345,NA,"BER","BKK",2019-01-26,2019-01-31,2019-01-14,1,"BER-BKK","2019-01-26-2019-01-31",12
5874,NA,"BER","BKK",2019-01-26,2019-01-31,2019-01-15,1,"BER-BKK","2019-01-26-2019-01-31",11
5867,NA,"BER","BKK",2019-01-26,2019-01-31,2019-01-16,1,"BER-BKK","2019-01-26-2019-01-31",10
6146,NA,"BER","BKK",2019-01-26,2019-01-31,2019-01-17,1,"BER-BKK","2019-01-26-2019-01-31",9
5858,NA,"BER","BKK",2019-01-26,2019-02-01,2019-01-14,1,"BER-BKK","2019-01-26-2019-02-01",12
5874,NA,"BER","BKK",2019-01-26,2019-02-01,2019-01-15,1,"BER-BKK","2019-01-26-2019-02-01",11
5867,NA,"BER","BKK",2019-01-26,2019-02-01,2019-01-16,1,"BER-BKK","2019-01-26-2019-02-01",10
